i x result
1 -1.000000 -1.00000000000000000e+00
2 -1.000000 -1.00000000000000000e+00
3 -1.000000 -1.00000000000000000e+00
4 -1.000000 -1.00000000000000000e+00
5 -1.000000 -1.00000000000000000e+00
6 -1.000000 -1.00000000000000000e+00
7 -1.000000 -1.00000000000000000e+00
8 -1.000000 -1.00000000000000000e+00
9 -1.000000 -1.00000000000000000e+00
10 -1.000000 -1.00000000000000000e+00
11 -1.000000 -1.00000000000000000e+00
12 -1.000000 -1.00000000000000000e+00
13 -1.000000 -1.00000000000000000e+00
14 -1.000000 -1.00000000000000000e+00
15 -1.000000 -1.00000000000000000e+00
16 -1.000000 -1.00000000000000000e+00
17 -1.000000 -1.00000000000000000e+00
18 -1.000000 -1.00000000000000000e+00
19 -1.000000 -1.00000000000000000e+00
20 -1.000000 -1.00000000000000000e+00
1 -0.990000 -9.89999999999999991e-01
2 -0.990000 -9.89999999999999991e-01
3 -0.990000 -9.89999999999999991e-01
4 -0.990000 -9.89999999999999991e-01
5 -0.990000 -9.89999999999999991e-01
6 -0.990000 -9.89999999999999991e-01
7 -0.990000 -9.89999999999999991e-01
8 -0.990000 -9.89999999999999991e-01
9 -0.990000 -9.89999999999999991e-01
10 -0.990000 -9.89999999999999991e-01
11 -0.990000 -9.89999999999999991e-01
12 -0.990000 -9.89999999999999991e-01
13 -0.990000 -9.89999999999999991e-01
14 -0.990000 -9.89999999999999991e-01
15 -0.990000 -9.89999999999999991e-01
16 -0.990000 -9.89999999999999991e-01
17 -0.990000 -9.89999999999999991e-01
18 -0.990000 -9.89999999999999991e-01
19 -0.990000 -9.89999999999999991e-01
20 -0.990000 -9.89999999999999991e-01
1 -0.980000 -9.79999999999999982e-01
2 -0.980000 -9.79999999999999982e-01
3 -0.980000 -9.79999999999999982e-01
4 -0.980000 -9.79999999999999982e-01
5 -0.980000 -9.79999999999999982e-01
6 -0.980000 -9.79999999999999982e-01
7 -0.980000 -9.79999999999999982e-01
8 -0.980000 -9.79999999999999982e-01
9 -0.980000 -9.79999999999999982e-01
10 -0.980000 -9.79999999999999982e-01
11 -0.980000 -9.79999999999999982e-01
12 -0.980000 -9.79999999999999982e-01
13 -0.980000 -9.79999999999999982e-01
14 -0.980000 -9.79999999999999982e-01
15 -0.980000 -9.79999999999999982e-01
16 -0.980000 -9.79999999999999982e-01
17 -0.980000 -9.79999999999999982e-01
18 -0.980000 -9.79999999999999982e-01
19 -0.980000 -9.79999999999999982e-01
20 -0.980000 -9.79999999999999982e-01
1 -0.970000 -9.69999999999999973e-01
2 -0.970000 -9.69999999999999973e-01
3 -0.970000 -9.69999999999999973e-01
4 -0.970000 -9.69999999999999973e-01
5 -0.970000 -9.69999999999999973e-01
6 -0.970000 -9.69999999999999973e-01
7 -0.970000 -9.69999999999999973e-01
8 -0.970000 -9.69999999999999973e-01
9 -0.970000 -9.69999999999999973e-01
10 -0.970000 -9.69999999999999973e-01
11 -0.970000 -9.69999999999999973e-01
12 -0.970000 -9.69999999999999973e-01
13 -0.970000 -9.69999999999999973e-01
14 -0.970000 -9.69999999999999973e-01
15 -0.970000 -9.69999999999999973e-01
16 -0.970000 -9.69999999999999973e-01
17 -0.970000 -9.69999999999999973e-01
18 -0.970000 -9.69999999999999973e-01
